EXTF;141;16;Debitoren/Kreditoren;1;2,02E+16;0;;;;1;1;20200101;4;20200101;20200101;Personenkonten vom 01.01.2020 00:00:00 bis 01.01.2020 00:00:00;LJ;1;0;0;EUR
Umsatz ohne S/H Kennzeichen;S/H Kennzeichen;WKZ;Kurs;Basis-Umsatz;WKZ Basis-Umsatz;Kontonummer;Gegenkonto ohne BU Schluessel;BU Schluessel;Belegdatum;Belegfeld 1;Belegfeld 2 (nur fuer Zahlungsfaelligkeiten);Skonto;Buchungstext;;;;;;;;
172,55;S;EUR;1;;;34862;8409;;1122021;R202110319;;;Stiller Alarm Standard Lizenz;;;;;;;;
19,41;S;EUR;1;;;34862;8410;;1122021;R202110319;;;Standard-Support Laufzeit: bis zum 28.02.2022 Emailsup..;;;;;;;;
1069,81;S;EUR;1;;;37224;8409;;2122021;R202110320;;;Stiller Alarm Standard Lizenz;;;;;;;;
160,47;S;EUR;1;;;37224;8410;;2122021;R202110320;;;Standard-Support Laufzeit: 1 Jahr ab Bestellung 15% vom ..;;;;;;;;
556,92;S;EUR;1;;;37224;8412;;2122021;R202110320;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;;;;;;;;
595;S;EUR;1;;;37224;8401;;2122021;R202110320;;;Konfiguration des Stiller Alarm Portals - Anlegen von O..;;;;;;;;
345,1;S;EUR;1;;;34898;8409;;2122021;R202110321;;;Stiller Alarm Standard Lizenz;;;;;;;;
388,24;S;EUR;1;;;34898;8410;;2122021;R202110321;;;Standard-Support Laufzeit: 1 Jahr ab 01.12.2021 - 30.11.2..;;;;;;;;
580;H;EUR;1;;;37223;8349;;2122021;RS2110006;;;Lizenzpaket für bis zu 15 Standard-Lizenzen inklusive 1 J..;;;;;;;;
595;S;EUR;1;;;37223;8409;;2122021;R202110322;;;Lizenzpaket für bis zu 15 Standard-Lizenzen inklusive 1 J..;;;;;;;;
2160;H;EUR;1;;;37203;8336;;6122021;RS2110007;;;Stiller Alarm Standard license;;;;;;;;
348;H;EUR;1;;;37203;8336;;6122021;RS2110007;;; Standard support Duration: 1 year from 01.09.2021 -31.08..;;;;;;;;
517,65;S;EUR;1;;;37226;8409;;6122021;R202110323;;;Lizenzpaket für bis zu 15 Standard-Lizenzen inklusive 1 J..;;;;;;;;
1164,71;S;EUR;1;;;35138;8410;;6122021;R202110324;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
